Lat,Lon
25.703318627846304,-111.21205477917985
25.697888503295903,-111.220158167176
25.697527186163537,-111.27356956178869
25.70013738785999,-111.30518085731181
25.710301729263374,-111.32764434718007
25.740579931614143,-111.36549493141014
25.766634705538873,-111.39541234770167
25.830762790559334,-111.39312073994799
25.854000975905958,-111.41117114017517
25.90433231837708,-111.41474001433164
25.948391440787116,-111.42625027689799
25.973022848588737,-111.42684850236161
26.03771742888544,-111.39627699269832
26.07320599577715,-111.36109234196064
26.07804372042711,-111.31991234812486
